subID,event,group,AlphabetKnowledge_Upper,AlphabetKnowledge_Lower,AlphabetKnowledge,Decoding,PhonemeMatching,PhonemeSegmenting,EVTRaw,Retell,Grammar,visit
1103,Visit 2,Language,23,26,49,0,7,1,86,16,12,pre
1103,Visit 3,Language,40,19,59,0,8,0,91,15,12,post
1110,Visit 2,Language,46,44,90,4,12,2,94,21,14,pre
1110,Visit 3,Language,48,45,93,0,12,3,97,12,11,post
1112,Visit 2,Letter,14,9,23,0,12,4,66,13,10,pre
1112,Visit 3,Letter,22,14,36,0,14,1,79,11,11,post
1113,Visit 2,Language,19,12,31,0,7,1,66,10,8,pre
1113,Visit 3,Language,27,7,34,0,8,0,65,0,0,post
1184,Visit 2,Language,45,37,82,0,15,4,91,7,6,pre
1184,Visit 3,Language,48,41,89,5,8,3,85,10,9,post
1208,Visit 2,Language,17,14,31,0,7,NaN,83,11,8,pre
1208,Visit 3,Language,20,20,40,0,10,1,90,17,10,post
1210,Visit 2,Letter,43,31,74,1,6,NaN,93,7,6,pre
1210,Visit 3,Letter,42,33,75,5,9,0,92,20,14,post
1241,Visit 2,Letter,19,15,34,0,12,1,81,11,9,pre
1241,Visit 3,Letter,21,24,45,0,10,2,79,19,13,post
1262,Visit 2,Language,25,13,38,0,12,0,107,18,12,pre
1262,Visit 3,Language,22,21,43,0,10,1,104,17,11,post
1271,Visit 2,Language,40,30,70,0,8,0,73,15,11,pre
1271,Visit 3,Language,40,27,67,0,11,1,96,11,9,post
1293,Visit 2,Letter,44,45,89,0,10,2,96,19,13,pre
1293,Visit 3,Letter,48,49,97,6,13,4,90,10,10,post
1302,Visit 2,Language,39,18,57,0,13,0,67,15,12,pre
1302,Visit 3,Language,46,35,81,0,7,1,62,13,10,post
1372,Visit 2,Language,22,11,33,0,12,1,62,9,9,pre
1372,Visit 3,Language,23,11,34,0,10,0,76,12,8,post
1382,Visit 2,Language,25,21,46,0,6,1,63,17,11,pre
1382,Visit 3,Language,24,20,44,0,9,1,72,13,11,post
1391,Visit 2,Letter,17,0,17,0,6,0,49,0,0,pre
1391,Visit 3,Letter,32,28,60,0,12,0,58,0,0,post
1401,Visit 2,Letter,38,30,68,0,9,1,78,16,11,pre
1401,Visit 3,Letter,44,38,82,1,7,1,79,4,4,post
1443,Visit 2,Language,50,47,97,16,16,6,86,6,6,pre
1443,Visit 3,Language,50,48,98,3,18,6,89,14,11,post
1460,Visit 2,Language,50,46,96,13,13,6,103,13,11,pre
1460,Visit 3,Language,51,42,93,5,12,6,99,15,11,post
1490,Visit 2,Letter,4,7,11,0,12,1,72,12,10,pre
1490,Visit 3,Letter,8,9,17,0,10,0,79,8,7,post
1505,Visit 2,Language,39,30,69,0,12,2,103,12,9,pre
