subID,event,group,AlphabetKnowledge_Upper,AlphabetKnowledge_Lower,Decoding,PhonemeMatching,PhonemeSegmenting,EVTRaw,Retell,Grammar,PDE,SWE,WJ_BRS,Age,AlphabetKnowledge,visit
1103,Visit 2,Language,23,26,0,7,1,86,16,12,NaN,NaN,NaN,66.377117097386,49,pre
1103,Visit 3,Language,40,19,0,8,0,91,15,12,NaN,NaN,NaN,67.067044459045,59,post
1103,Visit 4,Language,50,49,14,13,7,101,17,11,108,99,105,77.7374434223974,99,oneyear
1110,Visit 2,Language,46,44,4,12,2,94,21,14,NaN,NaN,NaN,61.777951160753,90,pre
1110,Visit 3,Language,48,45,0,12,3,97,12,11,NaN,NaN,NaN,63.389044021025,93,post
1110,Visit 4,Language,51,51,13,17,5,111,21,14,111,102,119,72.1548081836765,102,oneyear
1112,Visit 2,Letter,14,9,0,12,4,66,13,10,NaN,NaN,NaN,64.869734632793,23,pre
1112,Visit 3,Letter,22,14,0,14,1,79,11,11,NaN,NaN,NaN,65.953355416849,36,post
1112,Visit 4,Letter,44,39,11,16,4,87,16,12,74,75,84,76.2331636005256,83,oneyear
1113,Visit 2,Language,19,12,0,7,1,66,10,8,NaN,NaN,NaN,67.066747882903,31,pre
1113,Visit 3,Language,27,7,0,8,0,65,0,0,NaN,NaN,NaN,68.808174551029,34,post
1113,Visit 4,Language,49,46,14,11,3,88,4,4,81,86,90,77.7798538107753,95,oneyear
1184,Visit 2,Language,45,37,0,15,4,91,7,6,NaN,NaN,NaN,66.377162724485,82,pre
1184,Visit 3,Language,48,41,5,8,3,85,10,9,NaN,NaN,NaN,67.068413272011,89,post
1208,Visit 2,Language,17,14,0,7,NaN,83,11,8,NaN,NaN,NaN,61.779319973719,31,pre
1208,Visit 3,Language,20,20,0,10,1,90,17,10,NaN,NaN,NaN,63.162642356548,40,post
1210,Visit 2,Letter,43,31,1,6,NaN,93,7,6,NaN,NaN,NaN,59.746997736896,74,pre
1210,Visit 3,Letter,42,33,5,9,0,92,20,14,NaN,NaN,NaN,61.352250328515,75,post
1210,Visit 4,Letter,50,48,19,15,10,102,18,13,111,100,120,70.3553438458169,98,oneyear
1241,Visit 2,Letter,19,15,0,12,1,81,11,9,NaN,NaN,NaN,61.120920937363,34,pre
1241,Visit 3,Letter,21,24,0,10,2,79,19,13,NaN,NaN,NaN,61.750574901445,45,post
1241,Visit 4,Letter,51,50,18,14,3,91,12,12,97,79,104,70.9123594685356,101,oneyear
1262,Visit 2,Language,25,13,0,12,0,107,18,12,NaN,NaN,NaN,67.792515330705,38,pre
1262,Visit 3,Language,22,21,0,10,1,104,17,11,NaN,NaN,NaN,68.548100087604,43,post
1262,Visit 4,Language,49,48,16,13,8,124,17,13,99,84,93,77.7159074317419,97,oneyear
1271,Visit 2,Language,40,30,0,8,0,73,15,11,NaN,NaN,NaN,62.106466272449,70,pre
