subj,timepoint,words,faces,cars,aliens
prek_1103,pre,23,20,24,8
prek_1110,pre,22,25,22,8
prek_1112,pre,29,25,29,10
prek_1113,pre,27,29,27,10
prek_1184,pre,25,22,23,9
prek_1208,pre,24,26,27,8
prek_1210,pre,24,21,28,10
prek_1241,pre,30,30,30,10
prek_1262,pre,30,30,30,10
prek_1271,pre,25,21,25,8
prek_1293,pre,17,21,21,7
prek_1302,pre,28,29,28,10
prek_1372,pre,18,26,24,4
prek_1382,pre,29,26,28,10
prek_1391,pre,26,27,24,8
prek_1401,pre,29,25,26,9
prek_1443,pre,17,12,19,4
prek_1460,pre,23,23,19,10
prek_1490,pre,29,30,30,10
prek_1505,pre,13,14,14,3
prek_1673,pre,17,18,20,9
prek_1676,pre,24,27,26,9
prek_1691,pre,29,29,29,10
prek_1706,pre,17,21,20,7
prek_1714,pre,30,30,30,10
prek_1715,pre,30,30,30,10
prek_1750,pre,30,30,30,10
prek_1756,pre,30,30,28,10
prek_1762,pre,30,30,30,10
prek_1768,pre,27,29,29,9
prek_1790,pre,28,28,28,10
prek_1798,pre,26,29,28,10
prek_1812,pre,27,28,23,9
prek_1818,pre,28,29,27,9
prek_1868,pre,30,30,30,10
prek_1869,pre,30,30,30,10
prek_1878,pre,28,28,29,10
prek_1887,pre,30,30,30,10
prek_1901,pre,28,30,29,10
prek_1916,pre,28,28,28,10
prek_1921,pre,18,24,23,8
prek_1936,pre,30,27,23,9
prek_1939,pre,27,29,28,10
prek_1940,pre,30,30,30,10
prek_1951,pre,26,26,28,9
prek_1964,pre,30,26,27,9
prek_1966,pre,30,30,30,10
prek_1103,post,30,25,27,9
prek_1110,post,24,30,30,10
prek_1112,post,19,20,20,8
prek_1113,post,26,27,25,9
prek_1184,post,13,8,10,4
prek_1208,post,21,26,25,9
prek_1210,post,5,7,10,2
prek_1241,post,28,27,29,10
prek_1262,post,30,30,30,10
prek_1271,post,28,26,23,9
prek_1293,post,27,29,29,10
prek_1302,post,30,30,30,10
prek_1372,post,19,14,14,4
prek_1382,post,20,23,21,9
prek_1391,post,14,16,16,5
prek_1401,post,30,28,28,10
prek_1443,post,26,26,27,7
prek_1460,post,24,28,29,8
prek_1490,post,29,27,27,8
prek_1505,post,14,20,17,3
prek_1673,post,30,29,29,10
prek_1676,post,27,25,27,8
prek_1691,post,27,29,28,8
prek_1706,post,16,11,13,5
prek_1714,post,30,30,30,10
prek_1715,post,30,28,30,10
prek_1750,post,28,30,28,10
prek_1756,post,19,24,20,5
prek_1762,post,28,28,30,10
prek_1768,post,27,26,26,10
prek_1790,post,26,24,24,10
prek_1798,post,28,23,24,8
prek_1812,post,16,19,14,7
prek_1818,post,20,20,19,7
prek_1868,post,26,30,26,10
prek_1869,post,27,29,29,9
prek_1878,post,26,26,26,8
prek_1887,post,29,30,28,10
prek_1901,post,29,28,28,10
prek_1916,post,9,5,5,1
prek_1921,post,25,23,26,9
prek_1936,post,24,20,22,8
prek_1939,post,21,19,18,6
prek_1940,post,26,27,29,9
prek_1951,post,30,30,28,10
prek_1964,post,27,27,24,7
prek_1966,post,24,27,24,6
