subj,timepoint,ch_type,min,max,ptp_ampl
prek_1103,pre,mag,-1.7195955334221978e-12,1.6506703999282598e-12,3.3702659333504574e-12
prek_1103,pre,mag,-1.4182669377289328e-12,1.6642733769680746e-12,3.0825403146970075e-12
prek_1103,pre,mag,-1.6609740044469167e-12,1.7325561590311038e-12,3.3935301634780208e-12
prek_1103,pre,mag,-1.5033925395311488e-12,2.2370643759359103e-12,3.7404569154670595e-12
prek_1103,pre,mag,-1.491322570888312e-12,1.6861190175393801e-12,3.177441588427692e-12
prek_1103,pre,mag,-1.827395135445255e-12,1.6142521546644755e-12,3.4416472901097306e-12
prek_1103,pre,mag,-1.4421073441730313e-12,1.2595994037587177e-12,2.7017067479317487e-12
prek_1103,pre,mag,-2.2528979296640395e-12,1.630859632097591e-12,3.883757561761631e-12
prek_1103,pre,mag,-1.3389158954153672e-12,1.6601067809765389e-12,2.999022676391906e-12
prek_1103,pre,mag,-1.3395972688283452e-12,1.4740900177925617e-12,2.813687286620907e-12
prek_1103,pre,mag,-1.4222577069474562e-12,1.757671410410763e-12,3.179929117358219e-12
prek_1103,pre,mag,-1.7656574399924318e-12,1.950257467562434e-12,3.715914907554866e-12
prek_1103,pre,mag,-1.835774750341012e-12,1.35040996785661e-12,3.186184718197622e-12
prek_1103,pre,mag,-1.290426838460576e-12,1.4220010766256823e-12,2.7124279150862585e-12
prek_1103,pre,mag,-1.5706916576544761e-12,1.2984604491282806e-12,2.8691521067827568e-12
prek_1103,pre,mag,-1.2911265650474122e-12,1.3455710967887632e-12,2.636697661836175e-12
prek_1103,pre,mag,-1.5731628355446005e-12,1.2369707511931997e-12,2.8101335867378002e-12
prek_1103,pre,mag,-1.1585057464839697e-12,1.683142123592112e-12,2.841647870076082e-12
prek_1103,pre,mag,-1.3703092648336282e-12,1.4229707006037717e-12,2.7932799654374e-12
prek_1103,pre,mag,-1.7356588943600589e-12,1.7505138895416605e-12,3.4861727839017194e-12
prek_1103,pre,mag,-1.564715984510451e-12,1.877120550459122e-12,3.4418365349695727e-12
prek_1103,pre,mag,-1.3473306785652309e-12,2.6013466045339386e-12,3.948677283099169e-12
prek_1103,pre,mag,-1.518252613753633e-12,2.12191260902816e-12,3.640165222781793e-12
prek_1103,pre,mag,-1.387714094041535e-12,1.6236837496375987e-12,3.0113978436791335e-12
prek_1103,pre,mag,-1.255343740446496e-12,1.6791686175641086e-12,2.9345123580106048e-12
prek_1103,pre,mag,-1.1837749158331363e-12,1.8994896396858448e-12,3.083264555518981e-12
prek_1103,pre,mag,-1.6835980200848705e-12,1.5907997735868943e-12,3.2743977936717648e-12
prek_1103,pre,mag,-1.2663089015817108e-12,1.72947439291414e-12,2.995783294495851e-12
prek_1103,pre,mag,-1.4225163438584988e-12,1.921707124503086e-12,3.344223468361585e-12
prek_1103,pre,mag,-1.4351500097228982e-12,1.3443587183823208e-12,2.779508728105219e-12
prek_1103,pre,mag,-1.5015034095806918e-12,1.7124708643820217e-12,3.2139742739627134e-12
prek_1103,pre,mag,-1.307546423757437e-12,1.4038647482022257e-12,2.711411171959663e-12
prek_1103,pre,mag,-1.5076376347396945e-12,2.2541922095886306e-12,3.761829844328325e-12
prek_1103,pre,mag,-1.9222854716710053e-12,1.0634655821415817e-12,2.985751053812587e-12
prek_1103,pre,mag,-1.4896458204873703e-12,1.8591313555700104e-12,3.348777176057381e-12
prek_1103,pre,mag,-2.100109844760786e-12,1.280395220456298e-12,3.380505065217084e-12
prek_1103,pre,mag,-1.4354774296032205e-12,2.455751349985028e-12,3.891228779588248e-12
prek_1103,pre,mag,-1.3614442971174357e-12,1.201522905522936e-12,2.5629672026403718e-12
prek_1103,pre,mag,-1.6117559906108998e-12,1.3377989821548484e-12,2.949554972765748e-12
prek_1103,pre,mag,-1.6113477511867296e-12,1.0883208104204455e-12,2.699668561607175e-12
prek_1103,pre,mag,-1.5227168766642898e-12,1.4821146035575042e-12,3.004831480221794e-12
